timestamp,lat,lon,alt_gps,alt_ned,north,east,down,rtk_x,rtk_y,rtk_z
1749760848.960674558,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760849.181128029,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760849.441364122,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760849.701080748,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760849.941508780,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760850.160491850,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760850.421486680,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760850.680619100,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760850.940976476,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760851.180588969,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760851.420966054,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760851.680695607,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760851.921370236,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760852.180614498,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760852.440932863,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760852.660473000,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760852.920968522,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760853.180998784,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760853.421359325,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760853.680586529,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760853.941009409,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760854.160637610,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760854.420649696,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760854.681100511,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760854.780157970,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760854.900531429,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.21926766,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.160766655,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.281621404,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.400758834,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.540568377,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.660835848,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.780696367,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760855.882524832,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.40827174,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.160689900,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.260869144,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.400593021,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.522516081,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.640826772,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.780912257,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760856.901007052,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
